stop_id,stop_name,stop_lat,stop_lon,routes
160312,ESTR MORGADA (182),38.521600,-8.803830,4411_0|4412_0
160313,ESTR MORGADA (240),38.521700,-8.807030,4411_0|4412_0|4413_0
160314,ESTR MORGADA (240),38.521800,-8.807020,4411_0|4412_0
160315,ESTR MORGADA (282),38.521930,-8.810470,4411_0|4412_0|4413_0
160316,ESTR MORGADA (282),38.522020,-8.810400,4411_0|4412_0
160317,ALTO FARALHÃO,38.522220,-8.814920,4411_0|4412_0|4413_0
160318,ALTO FARALHÃO,38.522300,-8.814860,4411_0|4412_0
160319,FARALHÃO ( ESC),38.522060,-8.818080,4411_0|4412_0|4413_0|4435_0|4437_0|4442_0|4442_1|4443_0|4452_0|4452_1|4453_0
160320,FARALHÃO ( ESC),38.522180,-8.818120,4411_0|4412_0|4435_0|4437_0|4442_0|4442_1|4443_0|4452_0|4452_1|4453_0
160321,STO OVÍDIO (43),38.521640,-8.821980,4411_0|4412_0|4435_0|4437_0|4442_0|4442_1|4443_0|4452_0|4452_1|4453_0
160322,STO OVÍDIO (43),38.521500,-8.821930,4411_0|4412_0|4413_0|4435_0|4437_0|4442_0|4442_1|4443_0|4452_0|4452_1|4453_0
160323,FARALHÃO (EM536-1 11),38.520400,-8.825950,4411_0|4412_0|4413_0|4435_0|4437_0|4442_0|4452_0|4452_1|4453_0
160324,FARALHÃO (EM536-1 11),38.520500,-8.825890,4411_0|4412_0|4435_0|4437_0|4442_0|4442_1|4452_0|4452_1|4453_0
160325,CURVAS X,38.524580,-8.829890,4411_0|4412_0|4437_0|4442_0|4442_1|4452_0|4452_1|4453_0
160326,CURVAS X,38.524440,-8.829750,4411_0|4412_0|4413_0|4437_0|4442_0|4452_0|4452_1|4453_0
160327,OUTÃO (HOSPITAL ORTOPÉDICO),38.489700,-8.934190,4414_0|4415_0
160328,OUTÃO (HOSPITAL ORTOPÉDICO),38.489700,-8.934120,4414_0|4415_0
160329,OUTÃO X,38.492100,-8.934620,4414_0|4415_0|4472_1
160330,OUTÃO X,38.492090,-8.934390,4414_0|4415_0|4472_1
160331,SÉCIL,38.495260,-8.930940,4414_0|4415_0|4472_1
160332,SÉCIL,38.495190,-8.930730,4414_0|4415_0|4472_1
160333,RASCA (ECOPARQUE),38.503940,-8.928310,4414_0|4415_0|4472_1
160334,RASCA (ECOPARQUE),38.503960,-8.928080,4414_0|4415_0|4472_1
160335,COMENDA (PARQUE MERENDAS),38.507996,-8.929102,4414_0|4415_0|4472_1
160336,COMENDA (PARQUE MERENDAS),38.508032,-8.929050,4414_0|4415_0|4472_1
160341,ALBARQUEL (N10-4),38.513200,-8.912200,4414_0|4415_0|4472_1
160342,ALBARQUEL (N10-4),38.513200,-8.912160,4414_0|4415_0|4472_1
160343,EN 379-1 (TOCA PAI LOPES),38.515200,-8.909830,4414_0|4415_0|4472_1
160344,EN 379-1 (TOCA PAI LOPES),38.515200,-8.909780,4414_0|4415_0|4472_1
160345,EN 379-1 X PARQUE URBANO ALBARQUEL,38.518000,-8.905590,4414_0|4415_0
160346,EN 379-1 X PARQUE URBANO ALBARQUEL,38.517900,-8.905550,4414_0|4415_0
160347,SETÚBAL (AV LUÍSA TODI 353),38.520700,-8.901470,4414_0|4415_0|4419_0|4422_0|4422_2|4428_0|4429_0|4438_0|4438_1|4440_0|4441_0|4472_1|4541_0
160349,SETÚBAL (AV 5 OUTUBRO) ANTIGA RODOVIÁRIA _,38.525430,-8.889230,4641_0
160351,SETÚBAL (AV LUISA TODI 472) PIRILAMPOS,38.522900,-8.898760,4414_0|4415_0|4419_0|4422_0|4422_1|4426_4|4428_0|4429_0|4438_0|4438_1|4440_0|4441_0|4472_1|4541_0
160353,SETÚBAL (AV LUISA TODI620)ESCAD CASTELO,38.520900,-8.902270,4414_0|4415_0|4422_0|4422_2|4428_0|4429_0|4472_1
160355,FÁBRICA SÉCIL (PORTARIA),38.503250,-8.932040,4415_0
160356,FÁBRICA SÉCIL (PORTARIA),38.503100,-8.931910,4415_0
160357,FÁBRICA SÉCIL (FORNO),38.502470,-8.934440,4415_0
160358,FÁBRICA SÉCIL (FORNO),38.502330,-8.934390,4415_0
160359,VALE RASCA ( BECO DA RIBEIRA),38.504310,-8.951310,4415_0
160360,VALE RASCA ( BECO DA RIBEIRA),38.504420,-8.951260,4415_0
160361,RASCA,38.505500,-8.958160,4415_0
160362,RASCA,38.505400,-8.958140,4415_0
160363,ALTO RASCA ( 3),38.503220,-8.962930,4415_0
160364,ALTO RASCA ( 3),38.503370,-8.962890,4415_0
160365,CASAL CRAMUAL,38.505080,-8.970980,4415_0
160366,CASAL CRAMUAL,38.505200,-8.970900,4415_0
160368,CASAL FORRETA X,38.507668,-8.973268,4415_0
160369,RASCA X,38.504440,-8.928520,4415_0
160370,RASCA X,38.504600,-8.928460,4415_0
160371,PÇ MOURO(R HENR ROSA)DEP RETIRO FERNANDO,38.541200,-8.854130,4410_0|4416_0|4417_0|4542_0|4543_0|4545_0
160374,QTA AMIZADE (1 ROTUNDA),38.543080,-8.855670,4410_0|4416_0|4417_0|4542_0|4543_0|4545_0
160375,SETÚBAL (AV MESTRE LIMA FREITAS 41),38.541650,-8.877360,4416_0|4417_0|4418_0|4420_0|4428_0|4433_0
160377,QTA AMIZADE (R ANT J ROSA) DEPOIS ROT,38.543500,-8.853900,4410_0|4416_0|4417_0|4542_0|4543_0|4545_0
160379,BREJOS CANES (208),38.540510,-8.807260,4419_0|4443_0|4545_0
160380,BREJOS CANES (208),38.540510,-8.807170,4419_0|4443_0|4545_0
160381,BREJOS CANES ( QTA CANTINHO AMOR),38.536800,-8.807090,4419_0|4443_0|4545_0
160382,BREJOS CANES ( QTA CANTINHO AMOR),38.536800,-8.806970,4419_0|4443_0|4545_0
160383,MOURISCA (R BAÍA SADO 12),38.531810,-8.811850,4419_0|4443_0|4545_0
160384,MOURISCA (R BAÍA SADO 12),38.531790,-8.811750,4419_0|4443_0|4545_0
160385,ESTR VL ROSA-MOUR (URB NV)XQTA FRAGOSO,38.536500,-8.822460,4419_0|4545_0
160386,ESTR VL ROSA-MOUR (URB NV)XQTA FRAGOSO,38.536630,-8.822350,4419_0|4545_0
160387,VALE ROSA,38.538960,-8.831990,4435_0|4443_0|4545_0
160388,VALE ROSA,38.539080,-8.831880,4419_0|4435_0|4443_0|4545_0
160389,R DO ALTO GUERRA 2,38.539340,-8.837680,4419_0|4435_0|4443_0|4540_0|4540_1|4544_0|4544_1|4545_0|4546_0|4548_0|4901_0|4901_1|4906_0|4906_1
