stop_id,stop_lat,stop_lon,stop_name,imd_id
080696,39.010481,-9.285768,Lgo Nossa Sra da Luz 3,21717
080695,39.010448,-9.285617,Lgo Nossa Sra da Luz 3,21718
080694,39.011300,-9.279880,Quinta Do Arneiro,21719
080693,39.011300,-9.279900,Quinta Do Arneiro,21720
080692,39.011100,-9.275520,R Da Azueira 8,21721
080691,39.011000,-9.275510,R Da Azueira 8,21722
080690,39.001199,-9.276202,En 8 22 (Gradil),21723
080689,39.001186,-9.276065,En 8 22 (Gradil),21724
080688,38.999102,-9.276098,R Principal 1 (Gradil),21725
080687,38.999134,-9.275973,R Principal 1 (Gradil),21726
080686,38.994495,-9.273695,R do Val 35 (Gradil),21727
080685,38.994431,-9.273854,R do Val 35 (Gradil),21728
080684,38.991962,-9.274317,En 8 22 (Gradil),21729
080683,38.991916,-9.274170,En 8 22 (Gradil),21730
080682,38.985574,-9.273732,En 8 (Gradil),21731
080681,38.985575,-9.273594,En 8 (Gradil),21732
080678,38.975273,-9.258141,Vila Franca Rosário (X) R Cap João Lopes,21734
080677,38.974809,-9.257844,Vila Franca Rosário (X) R Cap João Lopes,21735
080674,38.973504,-9.254838,R Nossa Sra do Rosário 9,21737
080673,38.973579,-9.254423,R Nossa Sra do Rosário 9,21738
080672,38.975620,-9.251139,R Nossa Sra da Memória 8,21739
080671,38.975532,-9.251072,R Nossa Sra da Memória 8,21740
080670,38.979297,-9.243911,R Principal 1 (Terroal),21741
080669,38.979154,-9.243988,R Principal 1 (Terroal),21742
080668,38.981743,-9.243415,R Principal 5 (Vila Pouca),21743
080667,38.981766,-9.243546,R Principal 5 (Vila Pouca),21744
080666,38.987781,-9.243868,R Principal (Escola) (Enxara Bispo),21745
080665,38.987708,-9.243740,R Principal (Escola) (Enxara Bispo),21746
080664,38.990667,-9.240494,Lgo Espírito Sto 1 (Enxara Bispo),21747
